"Según el art. 35.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, los actos serán motivados:", "Con sucinta referencia de hechos y fundamentos de derecho.", "Con extensa referencia a los hechos.", "Con sucinta referencia a los fundamentos de derecho.", "Con extensa referencia de hechos y fundamentos de derecho.", "a", "El artículo 35.1 de la Ley 39/2015 establece que los actos administrativos deben ser motivados con una sucinta referencia de hechos y fundamentos de derecho."
"El plazo para la interposición de un recurso extraordinario de revisión es de cuatro años siguientes a la fecha de la notificación de la resolución impugnada cuándo:","Al dictar el acto se haya incurrido en error de hecho, que resulte de los mismos documentos incorporados en el expediente.","Al dictar el acto se haya incurrido en error de derecho, que resulte de los mismos documentos incorporados en el expediente.","Al dictar el acto se haya incurrido en error de hecho o de derecho, que resulte de los mismos documentos incorporados en el expediente.","Todas las respuestas anteriores son incorrectas.","a","El artículo 124.1.a) de la Ley 39/2015 establece que el plazo de cuatro años se aplica cuando se haya incurrido en error de hecho que resulte de los documentos incorporados al expediente."
"La interposición de un recurso extraordinario de revisión tiene que producirse dentro del plazo de tres meses cuándo:","En la resolución hubieran influido esencialmente documentos o testimonios declarados falsos por sentencia judicial firme, anterior a aquella resolución.","En la resolución hubieran influido esencialmente documentos o testimonios declarados falsos por sentencia judicial firme, posterior a aquella resolución.","En la resolución hubieran influido esencialmente documentos o testimonios declarados falsos por sentencia judicial firme, anterior o posterior a aquella resolución.","Aparezcan documentos de valor esencial para la resolución del asunto que evidencien el error de la resolución recorrida, salvo que sean posteriores a esta.","b","El artículo 124.1.b) de la Ley 39/2015 establece que el plazo de tres meses se aplica cuando los documentos o testimonios declarados falsos sean posteriores a la resolución."
"La interposición de un recurso extraordinario de revisión tiene que producirse dentro del plazo de tres meses cuándo:","Aparezcan documentos de valor esencial para la resolución del asunto que, aunque sean posteriores, evidencien el error de la resolución recorrida.","Aparezcan documentos de valor esencial para la resolución del asunto que evidencien el error de la resolución recorrida, salvo que sean posteriores a esta.","Aparezcan documentos de valor que, aunque no sean esenciales para la resolución del asunto, evidencien la existencia de un error de hecho o de derecho de la resolución recorrida.","Aparezcan documentos de valor que, aunque no sean esenciales para la resolución del asunto, evidencien la existencia de un error de derecho de la resolución recorrida.","a","El artículo 124.1.c) de la Ley 39/2015 establece que el plazo de tres meses se aplica cuando aparezcan documentos de valor esencial, aunque sean posteriores, que evidencien el error."
"Ponen fin a la vía administrativa, de acuerdo con lo que dispone la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común:","Los acuerdos, pactos, convenios o contratos que tengan la consideración de iniciadores del procedimiento.","Las resoluciones de los procedimientos de impugnación a los cuales se refiere el artículo 117.2 de la Ley 39/2015, de 1 de octubre.","Las resoluciones de los recursos de alzada.","Todas las respuestas anteriores son correctas.","c","El artículo 114.1 de la Ley 39/2015 establece que las resoluciones de los recursos de alzada ponen fin a la vía administrativa."
"Ponen fin a la vía administrativa, de acuerdo con lo que dispone la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común, en el ámbito estatal:","Los actos administrativos de los miembros del Gobierno.","Los actos emanados de los ministros y los secretarios de Estado en el ejercicio de las competencias que tienen atribuidas los órganos de los cuales son titulares.","Las respuestas a) y b) son correctas.","Las respuestas a) y b) son incorrectas.","c","El artículo 114.2 de la Ley 39/2015 establece que los actos de los miembros del Gobierno y los ministros ponen fin a la vía administrativa."
"Contra las disposiciones administrativas de carácter general:","Sólo hay que interponer el recurso extraordinario de revisión.","No se puede interponer ningún recurso.","No se puede interponer recurso en vía administrativa.","Hay que interponer recurso de alzada.","c","El artículo 112.1 de la Ley 39/2015 establece que no cabe recurso en vía administrativa contra disposiciones de carácter general."
"La interposición de cualquier recurso:","Suspende la ejecución del acto impugnado, excepto en los casos en que una disposición establezca el contrario.","No suspende la ejecución del acto impugnado.","Suspende la ejecución del acto impugnado si se fundamenta en alguna de las causas de nulidad de pleno derecho que prevé el artículo 47.1 de la Ley 39/2015, de 1 de octubre.","Suspende automáticamente la ejecución del acto impugnado si se fundamenta en alguna de las causas de nulidad de pleno derecho que prevé el artículo 48 de la Ley 39/2015, de 1 de octubre.","a","El artículo 111.1 de la Ley 39/2015 establece que la interposición de un recurso suspende la ejecución del acto, salvo que una disposición establezca lo contrario."
"El plazo para la interposición del recurso de alzada, si el acto es expreso, es:","De dos meses.","De diez días.","De un mes.","De veinte días.","c","El artículo 121.1 de la Ley 39/2015 establece que el plazo para interponer el recurso de alzada es de un mes."
"Contra la resolución de un recurso de alzada:","No se puede interponer ningún otro recurso administrativo.","No se puede interponer ningún otro recurso administrativo, excepto el recurso extraordinario de revisión, en los casos que establece el artículo 125.1 de la Ley 39/2015, de 1 de octubre.","Sólo se puede interponer recurso de súplica.","Todas las respuestas anteriores son incorrectas.","b","El artículo 114.1 de la Ley 39/2015 establece que contra la resolución de un recurso de alzada solo cabe recurso extraordinario de revisión en los casos previstos."
"La interposición del recurso de alzada, si el acto no es expreso:","Es procedente en cualquier momento a partir del día en que, de acuerdo con su normativa específica, se produzcan los efectos del silencio administrativo.","Es procedente en cualquier momento a partir del día siguiente a aquel en que, de acuerdo con su normativa específica, se produzcan los efectos del silencio administrativo.","Es procedente en un plazo de tres meses a partir del día siguiente a aquel en que, de acuerdo con su normativa específica, se produzcan los efectos del silencio administrativo.","Es procedente en el plazo de un mes a partir del día siguiente a aquel en que, de acuerdo con su normativa específica, se produzcan los efectos del silencio administrativo.","c","El artículo 121.2 de la Ley 39/2015 establece que el plazo para interponer el recurso de alzada es de tres meses desde el día siguiente al que se produzcan los efectos del silencio administrativo."
"Transcurrido el plazo máximo para dictar y notificar la resolución del recurso de alzada sin que recaiga resolución:","El recurso puede entenderse estimado.","El recurso puede entenderse desestimado.","El recurso puede entenderse estimado, excepto en el supuesto que prevé el artículo 24.1, tercer párrafo, de la Ley 39/2015, de 1 de octubre.","El recurso puede entenderse desestimado, excepto en el supuesto que prevé el artículo 24.1, tercer párrafo, de la Ley 39/2015, de 1 de octubre.","b","El artículo 24.1 de la Ley 39/2015 establece que, transcurrido el plazo, el recurso se entiende desestimado."
"El plazo para la interposición del recurso de reposición, si el acto es expreso, es:","De cinco días.","De tres meses.","De un mes.","De veinte días.","c","El artículo 123.1 de la Ley 39/2015 establece que el plazo para interponer el recurso de reposición es de un mes."
"El plazo para la interposición del recurso de reposición, si el acto no es expreso, es:","De veinte días.","De diez días.","De tres meses.","La Ley 39/2015, de 1 de octubre, no establece ningún plazo.","d","El artículo 123.1 de la Ley 39/2015 no establece un plazo específico para actos no expresos."
"El recurso de reposición, si el acto no es expreso, puede interponerse:","En cualquier momento.","En cualquier momento a partir del día siguiente a aquel en que, de acuerdo con su normativa específica, se produzca el acto presunto.","En cualquier momento a partir del día en que, de acuerdo con su normativa específica, se produzca el acto presunto.","En el plazo de un mes a partir del día siguiente a aquel en que, de acuerdo con su normativa específica, se produzca el acto presunto.","b","El artículo 123.1 de la Ley 39/2015 establece que el recurso de reposición puede interponerse a partir del día siguiente al que se produzca el acto presunto."
"Transcurrido el plazo para la interposición del recurso de reposición, si el acto es expreso:","Únicamente puede interponerse un recurso contencioso administrativo.","No hay que interponer ningún recurso.","Únicamente puede interponerse recurso contencioso administrativo, sin perjuicio, si procede, de la procedencia del recurso extraordinario de revisión.","Puede interponerse, con carácter potestativo, un recurso de súplica y, directamente, un recurso contencioso administrativo.","c","El artículo 123.1 de la Ley 39/2015 establece que, transcurrido el plazo, solo cabe recurso contencioso administrativo o extraordinario de revisión, si procede."
"Interpuesto un recurso de reposición, el plazo máximo para dictar y notificar la resolución es:","De un mes.","De dos meses.","De veinte días.","De cuatro meses.","a","El artículo 123.2 de la Ley 39/2015 establece que el plazo máximo para resolver el recurso de reposición es de un mes."
"Contra la resolución de un recurso de reposición, según lo que dispone la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común:","No se puede interponer nuevamente este recurso.","No se puede interponer ningún otro recurso administrativo.","Se puede interponer, si procede, el recurso de alzada.","Sólo se puede interponer el recurso de queja.","b","El artículo 123.3 de la Ley 39/2015 establece que contra la resolución de un recurso de reposición no cabe otro recurso administrativo."
"Según lo que dispone la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común, pueden interponerse los recursos de alzada y reposición:","Contra los actos de trámite, si estos actos deciden directamente el fondo del asunto.","Contra los actos de trámite, si estos actos deciden directa o indirectamente el fondo del asunto.","Contra los actos de trámite, si estos actos inciden directamente en el fondo del asunto.","Contra los actos de trámite, si estos actos inciden directa o indirectamente en el fondo del asunto.","d","El artículo 112.2 de la Ley 39/2015 establece que los recursos de alzada y reposición pueden interponerse contra actos de trámite que incidan directa o indirectamente en el fondo del asunto."
"Según lo que dispone la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común, pueden interponerse los recursos de alzada y reposición:","Contra los actos de trámite, si estos producen perjuicio a derechos legítimos.","Contra los actos de trámite, si estos producen perjuicio irreparable a derechos e intereses legítimos.","Contra los actos de trámite, si estos producen perjuicio considerable a derechos e intereses legítimos.","Contra los actos de trámite, si estos producen perjuicio grave a derechos e intereses legítimos.","b","El artículo 112.2 de la Ley 39/2015 establece que los recursos de alzada y reposición pueden interponerse contra actos de trámite que produzcan perjuicio irreparable a derechos e intereses legítimos."
"Según lo que dispone la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común, el recurso de alzada:","Se tiene que interponer ante el órgano que dictó el acto que se impugna.","Se tiene que interponer ante el órgano que dictó el acto que se impugna o ante el competente para resolverlo.","Se tiene que interponer ante el órgano competente para resolverlo.","Se tiene que interponer ante la máxima autoridad de la administración que dictó la resolución o el acto que se recorre.","c","El artículo 121.1 de la Ley 39/2015 establece que el recurso de alzada se interpone ante el órgano competente para resolverlo."
"Según lo que dispone la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común, el órgano competente para la resolución del recurso de alzada:","Es el órgano superior jerárquico del que los dictó.","Es el órgano superior jerárquico del que los dictó, excepto en los supuestos de tribunales y órganos de selección del personal al servicio de las administraciones públicas.","Es el órgano superior jerárquico del que los dictó, excepto en los supuestos de tribunales y órganos de selección del personal al servicio de las administraciones públicas y en los supuestos en que un órgano actúe con autonomía funcional.","Las respuestas a) y b) son correctas.","c","El artículo 121.1 de la Ley 39/2015 establece que el órgano competente es el superior jerárquico, salvo en casos de tribunales, órganos de selección y órganos con autonomía funcional."
"¿Puede uno interesado interponer un recurso administrativo contra un acto de trámite si este le causa un perjuicio?","Sí, porque todos los actos administrativos son susceptibles de recurso.","Sí, siempre que el perjuicio sea grave.","Sí, siempre que el perjuicio sea irreparable.","Sí, siempre que el perjuicio sea grave e irreparable.","c","El artículo 112.2 de la Ley 39/2015 establece que los actos de trámite son recurribles si causan perjuicio irreparable."
"¿En qué motivos hay que fundamentar la interposición de un recurso administrativo?","Exclusivamente en un motivo de nulidad.","Exclusivamente en un motivo de anulabilidad.","En cualquier motivo de nulidad o anulabilidad.","En cualquier infracción del ordenamiento jurídico, incluyendo los defectos de forma.","d","El artículo 112.1 de la Ley 39/2015 establece que los recursos pueden fundamentarse en cualquier infracción del ordenamiento jurídico, incluyendo defectos de forma."
"En un procedimiento administrativo se dicta un acto de trámite que decide indirectamente el fondo del asunto. ¿Qué recurso administrativo puede interponer el interesado contra este acto?","El recurso de reposición.","El recurso de alzada.","El recurso extraordinario de revisión.","El recurso de reposición o el de alzada, según el caso.","b","El artículo 112.2 de la Ley 39/2015 establece que los actos de trámite que deciden indirectamente el fondo del asunto son recurribles mediante recurso de alzada."
"Un órgano administrativo no admite un recurso administrativo por estar carecido de fundamento. ¿Ha actuado correctamente, este órgano?","No.","Sí.","Sí, siempre que la carencia de fundamento sea manifiesta.","Sí, siempre que la carencia de fundamento sea temeraria.","c","El artículo 112.3 de la Ley 39/2015 establece que un recurso puede ser inadmitido si la carencia de fundamento es manifiesta."
"¿Ante quien tiene que interponer un recurso de alzada un interesado si la resolución contra la cual pretende recurrir, que no pone fin a la vía administrativa, ha sido dictada por un órgano de selección del personal al servicio de las administraciones públicas?","Ante este órgano.","Ante el ministro o consejero competente en materia de función pública.","Ante el órgano al cual estén adscritos.","Ninguna de las respuestas anteriores es correcta.","b","El artículo 121.1 de la Ley 39/2015 establece que, en el caso de órganos de selección, el recurso de alzada se interpone ante el ministro o consejero competente en materia de función pública."
"¿Es posible interponer un recurso administrativo contra un acto de trámite?","Sí, porque todos los actos administrativos son susceptibles de recurso.","No, parque los actos de trámite no son recurribles.","Sí, porque en determinados casos es posible oponerse con la finalidad de que esta oposición sea considerada en la resolución que pone fin al procedimiento.","Sí, en determinados casos, aunque siempre hay la posibilidad de oponerse con la finalidad de que esta oposición sea considerada en la resolución que pone fin al procedimiento.","d","El artículo 112.2 de la Ley 39/2015 establece que los actos de trámite son recurribles si producen perjuicio irreparable o deciden directa o indirectamente el fondo del asunto."
"Ponen fin a la vía administrativa, según lo que dispone la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común:","Las resoluciones de los procedimientos complementarios en materia sancionadora a los cuales se refiere el artículo 90.4 de la Ley 39/2015, de 1 de octubre.","Las resoluciones de los órganos administrativos que no tengan superior jerárquico, salvo que una ley establezca el contrario.","Las resoluciones de los procedimientos a los cuales se refiere el artículo 112.2 de la Ley 39/2015, de 1 de octubre.","Todas las respuestas anteriores son correctas.","b","El artículo 114.1 de la Ley 39/2015 establece que las resoluciones de órganos sin superior jerárquico ponen fin a la vía administrativa, salvo que una ley establezca lo contrario."
"Las leyes pueden sustituir, según la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común:","El recurso de reposición.","El recurso de alzada.","Las respuestas a) y b) son correctas.","Los dos recursos pueden ser sustituidos según la Ley 39/2015, de 1 de octubre, si bien no es la disposición referida la que así lo establece.","c","El artículo 122.1 de la Ley 39/2015 establece que las leyes pueden sustituir los recursos de alzada y reposición por otros procedimientos de impugnación, reclamación o conciliación."
"En materia de los recursos administrativos, la sustitución a la cual se refiere la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común, puede llevarse a cabo:","En supuestos o ámbitos sectoriales determinados.","Cuando la especialidad de la materia así lo aconseje.","En supuestos o ámbitos sectoriales determinados cuando la especifidad de la materia así lo justifique.","Con carácter general.","c","El artículo 122.1 de la Ley 39/2015 establece que la sustitución de recursos puede realizarse en supuestos o ámbitos sectoriales determinados cuando la especificidad de la materia lo justifique."
"En materia de los recursos administrativos, el procedimiento de sustitución al cual se refiere la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común, puede ser:","De impugnación.","De reclamación.","De conciliación.","Todas las respuestas anteriores son correctas.","d","El artículo 122.1 de la Ley 39/2015 establece que los procedimientos de sustitución pueden ser de impugnación, reclamación o conciliación."
"Los recursos que se fundamentan únicamente en la nulidad de alguna disposición administrativa de carácter general:","Pueden interponerse directamente ante el órgano que dictó esta disposición.","Tienen que interponerse directamente ante el órgano que dictó esta disposición.","Pueden interponerse directamente ante el órgano que dictó esta disposición o su superior.","Tienen que interponerse directamente ante el órgano que dictó esta disposición o su superior.","b","El artículo 112.1 de la Ley 39/2015 establece que los recursos contra disposiciones generales deben interponerse ante el órgano que las dictó."
"Contra los actos firmes en vía administrativa puede interponerse el recurso de revisión:","De carácter extraordinario.","Ante el órgano administrativo que los dictó.","En un plazo de tres meses.","Son correctas las respuestas a) y b).","d","El artículo 125.1 de la Ley 39/2015 establece que el recurso de revisión es extraordinario y se interpone ante el órgano que dictó el acto."
"Contra los actos administrativos que pongan fin a la vía administrativa:","Puede interponerse potestativamente un recurso de reposición.","Puede interponerse potestativamente un recurso de reposición y, si se pretende acudir a la vía contenciosa, de alzada.","Pueden interponerse potestativamente un recurso de reposición y uno de alzada.","Tiene que interponerse un recurso de reposición si se pretende acudir a la vía contenciosa.","a","El artículo 123.1 de la Ley 39/2015 establece que el recurso de reposición es potestativo contra actos que ponen fin a la vía administrativa."
"El recurso de reposición se tiene que interponer:","Ante el mismo órgano que hubiera dictado el acto.","Ante el órgano superior jerárquico del que dictó el acto.","Ante el mismo órgano que hubiera dictado el acto o ante el órgano superior jerárquico del que dictó el acto.","Se tiene que interponer ante el órgano que dictó el acto que se impugna o, en los casos expresamente que prevé la Ley, ante el órgano competente para resolverlo.","a","El artículo 123.1 de la Ley 39/2015 establece que el recurso de reposición se interpone ante el mismo órgano que dictó el acto."
"Indicad cuál de las siguientes afirmaciones es correcta:","El recurso de reposición puede interponerse directamente ante la orden jurisdiccional contencioso administrativa.","Los actos susceptibles de recurso de reposición pueden ser impugnados directamente ante la orden jurisdiccional contencioso administrativa.","Tiene que interponerse el recurso de reposición para acudir a la vía contenciosa.","Las respuestas a) y b) son correctas.","b","El artículo 123.1 de la Ley 39/2015 establece que los actos susceptibles de recurso de reposición pueden impugnarse directamente ante la jurisdicción contencioso-administrativa."
"Contra los actos firmes en vía administrativa, según lo que dispone la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común:","No se puede interponer ningún recurso administrativo.","Se puede interponer el recurso potestativo de reposición.","Se puede interponer el recurso potestativo de súplica.","Se puede interponer el recurso extraordinario de revisión cuando concurra alguna de las circunstancias que prevé el artículo 125.1 de la Ley 39/2015, de 1 de octubre.","d","El artículo 125.1 de la Ley 39/2015 establece que el recurso extraordinario de revisión es admisible contra actos firmes en los casos previstos."
"Ponen fin a la vía administrativa, según lo que dispone la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común:","Las resoluciones de órganos administrativos cuando una disposición legal así lo establezca.","Las resoluciones de órganos administrativos cuando una disposición reglamentaria así lo establezca.","Las resoluciones de órganos administrativos cuando una disposición legal o reglamentaria así lo establezca.","Las resoluciones de los procedimientos en materia sancionadora.","a","El artículo 114.1 de la Ley 39/2015 establece que las resoluciones de órganos administrativos ponen fin a la vía administrativa cuando una disposición legal así lo establezca."
"El error o la ausencia de la calificación de un recurso administrativo por parte del recurrente:","Impide la tramitación.","No impide la tramitación, siempre que se deduzca el verdadero carácter.","No impide la tramitación si esto no supone indefensión de la Administración.","No impide la tramitación si esto no supone indefensión de la Administración y siempre que se deduzca el verdadero carácter.","b","El artículo 112.3 de la Ley 39/2015 establece que el error en la calificación del recurso no impide su tramitación si se deduce su verdadero carácter."
"El recurso extraordinario de revisión se tiene que interponer dentro del plazo:","De cuatro años siguientes a la fecha de la notificación.","De un año desde la fecha de la notificación.","De tres meses desde el día siguiente de la fecha de la notificación.","Dependiendo del motivo, la Ley 39/2015, de 1 de octubre, distingue dos plazos.","d","El artículo 124.1 de la Ley 39/2015 establece plazos distintos según el motivo del recurso extraordinario de revisión."
"Es una circunstancia para la interposición del recurso extraordinario de revisión:","Que la resolución se haya dictado como consecuencia de prevaricación.","Que la resolución se haya dictado como consecuencia de prevaricación o soborno.","Que la resolución se haya dictado como consecuencia de prevaricación, soborno u otro delito contra la Administración pública o contra la Administración de justicia.","Que la resolución se haya dictado como consecuencia de prevaricación, soborno, violencia, maquinación fraudulenta u otra conducta punible.","d","El artículo 125.1.d) de la Ley 39/2015 establece que el recurso extraordinario de revisión procede si la resolución se dictó por prevaricación, soborno, violencia, maquinación fraudulenta u otra conducta punible."
"La interposición del recurso extraordinario de revisión sólo es procedente, en el supuesto referido en el artículo 125.1 d) de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común:","Si la concurrencia de la circunstancia ha sido declarada por el órgano colegiado superior de la Administración pública de que se trate.","Si la concurrencia de la circunstancia ha sido declarada, de forma firme, por el órgano colegiado superior de la Administración pública de que se trate.","Si la concurrencia de la circunstancia ha sido declarada por el órgano colegiado superior de la Administración pública de que se trate, con el dictamen previo favorable del Consejo de Estado u órgano equivalente.","Si la concurrencia de la circunstancia ha sido declarada por una sentencia judicial firme.","d","El artículo 125.1.d) de la Ley 39/2015 establece que la concurrencia de la circunstancia debe ser declarada por sentencia judicial firme."
"El plazo para resolver y notificar el recurso extraordinario de revisión desde su interposición, antes de que se produzca el silencio administrativo, es:","De un mes.","De veinte días.","De tres meses.","De quince días.","c","El artículo 125.2 de la Ley 39/2015 establece que el plazo para resolver y notificar el recurso extraordinario de revisión es de tres meses."
"Transcurrido el plazo para resolver y notificar el recurso extraordinario de revisión desde su interposición sin que se haya dictado y notificado la resolución, el recurso:","Se tiene que entender desestimado.","Se tiene que entender estimado.","Se tiene que entender desestimado, y queda expedita la vía jurisdiccional contenciosa administrativa.","Se tiene que entender caducado.","a","El artículo 125.2 de la Ley 39/2015 establece que, transcurrido el plazo, el recurso se entiende desestimado."
"El plazo para la interposición del recurso extraordinario de revisión, si el acto fuera expreso, es:","De cinco días.","De diez días.","De un mes.","Ninguna de las respuestas anteriores es correcta.","d","El artículo 124.1 de la Ley 39/2015 establece plazos distintos según el motivo del recurso extraordinario de revisión, no siendo ninguno de los mencionados."
"Es causa de no admisión de un recurso, según lo que dispone la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común:","Estar carecido el recurso de fundamento.","Estar carecido el recurso manifiestamente de fundamento.","Ser incompetente el órgano administrativo por razón de la materia o el territorio.","El error o la ausencia de la calificación del recurso.","b","El artículo 112.3 de la Ley 39/2015 establece que un recurso puede ser inadmitido si está manifiestamente carecido de fundamento."
"El denominado recurso extraordinario de revisión es un recurso:","Administrativo.","Judicial.","De naturaleza mixta.","Impropio.","a","El artículo 125 de la Ley 39/2015 establece que el recurso extraordinario de revisión es un recurso administrativo."
"Es causa de no admisión de un recurso, según lo que dispone la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común:","Ser incompetente el órgano administrativo, cuando el competente sea un superior jerárquico.","Ser manifiestamente incompetente el órgano administrativo.","Ser incompetente el órgano administrativo por razón de la materia.","Ser incompetente el órgano administrativo, cuando el competente pertenezca a otra Administración pública.","b","El artículo 112.3 de la Ley 39/2015 establece que un recurso puede ser inadmitido si el órgano es manifiestamente incompetente."
"El recurso extraordinario de revisión se tiene que interponer si la circunstancia alegada es que al dictar el acto se haya incurrido en error de hecho que resulte de los propios documentos incorporados en el expediente, dentro del plazo de:","De cuatro años.","De seis meses.","De tres meses.","De un año.","a","El artículo 124.1.a) de la Ley 39/2015 establece que el plazo para interponer el recurso extraordinario de revisión es de cuatro años en este caso."
"El recurso extraordinario de revisión se entiende desestimado si, sin que se haya dictado y notificado la resolución, ha transcurrido desde su interposición:","Cuatro años.","Un año.","Seis meses.","Tres meses.","b","Según el artículo 118.1 de la Ley 39/2015, el recurso extraordinario de revisión se entenderá desestimado si, transcurrido un año desde su interposición, no se ha dictado y notificado resolución."
"Es causa de no admisión de un recurso, según lo que dispone la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común:","Ser incompetente el órgano administrativo, cuando el competente pertenezca a la misma Administración pública.","Carecer de legitimación el recurrente.","La ausencia de la calificación del recurso por parte del recurrente.","El error de la calificación del recurso por parte del recurrente.","b","El artículo 112.1 de la Ley 39/2015 establece que carecer de legitimación es causa de no admisión de un recurso."
"De acuerdo con la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común, la interposición de un recurso administrativo tiene que expresar:","El nombre y apellidos del recurrente, sin hacer constar su identificación personal.","El acto que se recorre, y se puede consignar la razón de su impugnación.","El órgano, el centro o la unidad administrativa a que se dirige y su correspondiente código de identificación.","Todas las respuestas anteriores son correctas.","d","El artículo 112.2 de la Ley 39/2015 establece que la interposición de un recurso administrativo debe contener todos los elementos mencionados en las opciones a, b y c."
"De acuerdo con la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común, la interposición de un recurso administrativo tiene que expresar:","El acto que se recorre y la razón de su impugnación.","El nombre y apellidos del recurrente, así como su identificación personal.","Lugar, fecha, firma del recurrente, identificación del medio y, si procede, del lugar que se señale a efectos de notificaciones.","Todas las respuestas anteriores son correctas.","d","El artículo 112.2 de la Ley 39/2015 establece que la interposición de un recurso administrativo debe contener todos los elementos mencionados en las opciones a, b y c."
"Según lo que dispone la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común, en relación con la interposición de los recursos en vía administrativa, los vicios y los defectos que hagan anulable un acto:","Pueden ser alegados por todos los interesados.","No pueden ser alegados por quien los hubieran causado.","No pueden ser enmendados.","Ninguna de las respuestas anteriores es correcta.","a","El artículo 112.3 de la Ley 39/2015 establece que los vicios y defectos que hagan anulable un acto pueden ser alegados por todos los interesados."
"De acuerdo con la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común, puede suspender la ejecución de un acto impugnado el órgano competente para resolverlo:","Cuando la impugnación se fundamente en alguna de las causas de anulabilidad que prevé el artículo 57.1 de la Ley 39/2015, de 1 de octubre.","Cuando la impugnación se fundamente en alguna de las causas de anulabilidad que prevé el artículo 47.2 de la Ley 39/2015, de 1 de octubre.","Cuando la ejecución pueda causar perjuicios de imposible o difícil reparación.","Todas las respuestas anteriores son correctas.","c","El artículo 112.4 de la Ley 39/2015 establece que la ejecución de un acto impugnado puede suspenderse cuando esta pueda causar perjuicios de imposible o difícil reparación."
"Conforme la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común, se puede suspender la ejecución de un acto impugnado, por el órgano competente para resolverlo:","Cuando la impugnación se fundamente en alguna de las causas de nulidad de pleno derecho que prevé el artículo 47.1 de la Ley 39/2015, de 1 de octubre.","Cuando la impugnación se fundamente en alguna de las causas de anulabilidad que prevé el artículo 61.2 de la Ley 39/2015, de 1 de octubre.","Cuando la impugnación se fundamente en alguna de las causas de nulidad de pleno derecho que prevé el artículo 63.1 de la Ley 39/2015, de 1 de octubre.","Las respuestas a) y c) son correctas.","d","El artículo 112.4 de la Ley 39/2015 establece que la ejecución de un acto impugnado puede suspenderse cuando la impugnación se fundamente en alguna de las causas de nulidad de pleno derecho previstas en los artículos 47.1 y 63.1."
"Según lo que dispone la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común, la ejecución del acto impugnado se tiene que entender suspendida si el órgano a quien compite resolver el recurso no ha dictado y notificado resolución expresa a tal efecto:","Si transcurridos sesenta días desde que la solicitud de suspensión haya tenido entrada en el registro del órgano competente para decidir sobre la solicitud, este no ha dictado resolución expresa sobre este aspecto.","Si transcurridos treinta días desde que la solicitud de suspensión haya sido tomada en consideración por el órgano competente para decidir sobre la solicitud, este no ha dictado resolución expresa sobre este tema.","Si transcurrido un mes desde que la solicitud de suspensión haya tenido entrada en el registro electrónico de la Administración u organismo competente para decidir sobre la solicitud.","Ninguna de las respuestas anteriores es correcta.","a","El artículo 112.5 de la Ley 39/2015 establece que la ejecución del acto impugnado se entenderá suspendida si, transcurridos sesenta días desde la entrada de la solicitud en el registro del órgano competente, no se ha dictado resolución expresa."
"En referencia a los recursos administrativos, de acuerdo con la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común, cuando deban tenerse en cuenta nuevos hechos o documentos no recogidos en el expediente originario:","Se tiene que finalizar el recurso originario, abriéndose el plazo para la presentación de nuevos recursos.","Se tiene que publicar en el boletín oficial que corresponda.","Se tiene que poner de manifiesto a los interesados.","Todas las respuestas anteriores son correctas.","c","El artículo 112.6 de la Ley 39/2015 establece que, cuando deban tenerse en cuenta nuevos hechos o documentos, estos deben ponerse de manifiesto a los interesados."
"Según lo que dispone la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común, cuando deban tenerse en cuenta nuevos hechos o documentos no recogidos en el expediente originario, el plazo del que disponen los interesados porque formulen las alegaciones y presenten documentos y justificantes que estimen procedentes tiene que ser:","No inferior a diez días ni superior a veinte.","No inferior a diez días ni superior a quince.","No inferior a quince días ni superior a treinta.","No superior a veinte días.","a","El artículo 112.6 de la Ley 39/2015 establece que el plazo para formular alegaciones y presentar documentos debe ser no inferior a diez días ni superior a veinte."
